timestamp,topic,lag
2026-06-03 05:46:18.455429,queries,862
2026-06-03 05:46:18.455429,queries.retry,71
2026-06-03 05:46:18.455429,queries.dlq,52
2026-06-03 05:46:20.459806,queries,902
2026-06-03 05:46:20.459806,queries.retry,80
2026-06-03 05:46:20.459806,queries.dlq,53
2026-06-03 05:46:22.466260,queries,942
2026-06-03 05:46:22.466260,queries.retry,87
2026-06-03 05:46:22.466260,queries.dlq,53
2026-06-03 05:46:24.472124,queries,511
2026-06-03 05:46:24.472124,queries.retry,39
2026-06-03 05:46:24.472124,queries.dlq,56
2026-06-03 05:46:26.477443,queries,357
2026-06-03 05:46:26.477443,queries.retry,20
2026-06-03 05:46:26.477443,queries.dlq,62
2026-06-03 05:46:28.484778,queries,307
2026-06-03 05:46:28.484778,queries.retry,20
2026-06-03 05:46:28.484778,queries.dlq,64
2026-06-03 05:46:30.490243,queries,30
2026-06-03 05:46:30.490243,queries.retry,0
2026-06-03 05:46:30.490243,queries.dlq,65
2026-06-03 05:46:32.495246,queries,70
2026-06-03 05:46:32.495246,queries.retry,0
2026-06-03 05:46:32.495246,queries.dlq,65
2026-06-03 05:46:34.500185,queries,45
2026-06-03 05:46:34.500185,queries.retry,0
2026-06-03 05:46:34.500185,queries.dlq,65
2026-06-03 05:46:36.505085,queries,57
2026-06-03 05:46:36.505085,queries.retry,4
2026-06-03 05:46:36.505085,queries.dlq,65
2026-06-03 05:46:38.510423,queries,60
2026-06-03 05:46:38.510423,queries.retry,3
2026-06-03 05:46:38.510423,queries.dlq,65
2026-06-03 05:46:40.515616,queries,67
2026-06-03 05:46:40.515616,queries.retry,3
2026-06-03 05:46:40.515616,queries.dlq,65
2026-06-03 05:46:42.520163,queries,72
2026-06-03 05:46:42.520163,queries.retry,5
2026-06-03 05:46:42.520163,queries.dlq,67
2026-06-03 05:46:44.524824,queries,48
2026-06-03 05:46:44.524824,queries.retry,4
2026-06-03 05:46:44.524824,queries.dlq,68
2026-06-03 05:46:46.528247,queries,88
2026-06-03 05:46:46.528247,queries.retry,10
2026-06-03 05:46:46.528247,queries.dlq,68
2026-06-03 05:46:48.533328,queries,89
2026-06-03 05:46:48.533328,queries.retry,9
2026-06-03 05:46:48.533328,queries.dlq,70
2026-06-03 05:46:50.538105,queries,57
2026-06-03 05:46:50.538105,queries.retry,8
2026-06-03 05:46:50.538105,queries.dlq,70
2026-06-03 05:46:52.541553,queries,97
2026-06-03 05:46:52.541553,queries.retry,14
2026-06-03 05:46:52.541553,queries.dlq,72
2026-06-03 05:46:54.546513,queries,37
2026-06-03 05:46:54.546513,queries.retry,5
2026-06-03 05:46:54.546513,queries.dlq,72
2026-06-03 05:46:56.550974,queries,77
2026-06-03 05:46:56.550974,queries.retry,10
2026-06-03 05:46:56.550974,queries.dlq,75
2026-06-03 05:46:58.555221,queries,117
2026-06-03 05:46:58.555221,queries.retry,14
2026-06-03 05:46:58.555221,queries.dlq,75
2026-06-03 05:47:00.559570,queries,38
2026-06-03 05:47:00.559570,queries.retry,6
2026-06-03 05:47:00.559570,queries.dlq,75
2026-06-03 05:47:02.563074,queries,78
2026-06-03 05:47:02.563074,queries.retry,12
2026-06-03 05:47:02.563074,queries.dlq,77
2026-06-03 05:47:04.568299,queries,78
2026-06-03 05:47:04.568299,queries.retry,8
2026-06-03 05:47:04.568299,queries.dlq,77
2026-06-03 05:47:06.573096,queries,33
2026-06-03 05:47:06.573096,queries.retry,2
2026-06-03 05:47:06.573096,queries.dlq,78
2026-06-03 05:47:08.578635,queries,73
2026-06-03 05:47:08.578635,queries.retry,5
2026-06-03 05:47:08.578635,queries.dlq,79
2026-06-03 05:47:10.584249,queries,50
2026-06-03 05:47:10.584249,queries.retry,5
2026-06-03 05:47:10.584249,queries.dlq,80
2026-06-03 05:47:12.587330,queries,58
2026-06-03 05:47:12.587330,queries.retry,7
2026-06-03 05:47:12.587330,queries.dlq,82
2026-06-03 05:47:14.591179,queries,98
2026-06-03 05:47:14.591179,queries.retry,12
2026-06-03 05:47:14.591179,queries.dlq,83
2026-06-03 05:47:16.594231,queries,31
2026-06-03 05:47:16.594231,queries.retry,5
2026-06-03 05:47:16.594231,queries.dlq,84
2026-06-03 05:47:18.597499,queries,71
2026-06-03 05:47:18.597499,queries.retry,14
2026-06-03 05:47:18.597499,queries.dlq,86
2026-06-03 05:47:20.602041,queries,84
2026-06-03 05:47:20.602041,queries.retry,15
2026-06-03 05:47:20.602041,queries.dlq,87
2026-06-03 05:47:22.604976,queries,40
2026-06-03 05:47:22.604976,queries.retry,5
2026-06-03 05:47:22.604976,queries.dlq,88
2026-06-03 05:47:24.608886,queries,79
2026-06-03 05:47:24.608886,queries.retry,7
2026-06-03 05:47:24.608886,queries.dlq,88
2026-06-03 05:47:26.612144,queries,41
2026-06-03 05:47:26.612144,queries.retry,8
2026-06-03 05:47:26.612144,queries.dlq,88
2026-06-03 05:47:28.616259,queries,54
2026-06-03 05:47:28.616259,queries.retry,10
2026-06-03 05:47:28.616259,queries.dlq,88
2026-06-03 05:47:30.619757,queries,94
2026-06-03 05:47:30.619757,queries.retry,19
2026-06-03 05:47:30.619757,queries.dlq,91
2026-06-03 05:47:32.622926,queries,73
2026-06-03 05:47:32.622926,queries.retry,17
2026-06-03 05:47:32.622926,queries.dlq,92
